iter	Passed	Remaining
445	9241	7584
446	9261	7562
447	9282	7542
448	9303	7521
449	9323	7500
450	9343	7478
451	9360	7455
452	9381	7434
453	9403	7415
454	9424	7394
455	9445	7373
456	9466	7353
457	9487	7332
458	9507	7311
459	9529	7291
460	9548	7269
461	9570	7250
462	9589	7228
463	9609	7206
464	9630	7186
465	9650	7165
466	9669	7143
467	9689	7122
468	9711	7102
469	9733	7082
470	9756	7063
471	9776	7042
472	9797	7021
473	9816	7000
474	9838	6980
475	9861	6961
476	9882	6940
477	9902	6919
478	9922	6897
479	9942	6876
480	9963	6856
481	9982	6834
482	10005	6815
483	10024	6793
484	10045	6772
485	10065	6751
486	10087	6732
487	10107	6710
488	10127	6689
489	10147	6668
490	10169	6648
491	10188	6626
492	10210	6606
493	10232	6586
494	10250	6564
495	10271	6544
496	10291	6522
497	10311	6501
498	10332	6480
499	10351	6459
500	10371	6438
501	10391	6417
502	10411	6395
503	10430	6374
504	10450	6352
505	10471	6332
506	10492	6311
507	10511	6290
508	10533	6270
509	10556	6251
510	10579	6231
511	10599	6210
512	10619	6189
513	10640	6168
514	10660	6147
515	10680	6126
516	10700	6105
517	10718	6083
518	10739	6063
519	10760	6042
520	10779	6020
521	10798	5999
522	10819	5978
523	10840	5957
524	10860	5936
525	10881	5916
526	10901	5895
527	10924	5875
528	10944	5855
529	10965	5834
530	10986	5813
531	11006	5792
532	11025	5771
533	11045	5750
534	11065	5729
535	11085	5708
536	11106	5687
537	11125	5666
538	11146	5645
539	11167	5624
540	11187	5603
541	11205	5582
542	11226	5561
543	11246	5540
544	11265	5519
545	11285	5498
546	11306	5477
547	11325	5456
548	11346	5435
549	11368	5415
550	11389	5395
551	11409	5374
552	11429	5352
553	11448	5331
554	11470	5311
555	11491	5291
556	11509	5269
557	11529	5248
558	11550	5227
559	11571	5207
560	11589	5185
561	11609	5164
562	11629	5143
563	11648	5121
564	11670	5101
565	11689	5080
566	11709	5059
567	11729	5038
568	11749	5017
569	11769	4996
570	11788	4975
571	11808	4954
572	11828	4933
573	11846	4911
574	11865	4890
575	11885	4869
576	11905	4848
577	11926	4828
578	11947	4807
579	11969	4787
580	11992	4768
581	12013	4747
582	12032	4726
583	12052	4705
584	12072	4684
585	12092	4663
586	12110	4641
587	12132	4621
588	12151	4600
589	12172	4580
590	12193	4559
591	12212	4538
592	12234	4518
593	12253	4496
594	12274	4476
595	12294	4455
596	12314	4435
597	12336	4414
598	12357	4394
599	12378	4373
600	12400	4353
601	12419	4332
602	12438	4311
603	12457	4290
604	12477	4268
605	12498	4248
606	12519	4228
607	12539	4207
608	12559	4186
609	12579	4165
610	12600	4145
611	12620	4124
612	12641	4103
613	12660	4082
614	12681	4062
615	12701	4041
616	12721	4020
617	12742	4000
618	12765	3980
619	12785	3959
620	12805	3938
621	12824	3917
622	12847	3897
623	12867	3876
624	12887	3855
625	12906	3834
626	12927	3814
627	12949	3794
628	12971	3773
629	12990	3752
630	13010	3732
631	13030	3711
632	13049	3690
633	13071	3669
634	13094	3649
635	13113	3628
636	13135	3608
637	13155	3587
638	13175	3567
639	13195	3546
640	13216	3525
641	13237	3505
642	13257	3484
643	13277	3463
644	13300	3443
645	13319	3422
646	13342	3402
647	13361	3381
648	13384	3361
649	13405	3340
650	13424	3319
651	13443	3299
652	13463	3278
653	13484	3257
654	13505	3237
655	13525	3216
656	13545	3195
657	13565	3174
658	13585	3154
659	13606	3133
660	13626	3112
661	13646	3092
662	13666	3071
663	13686	3050
664	13707	3030
665	13728	3009
666	13748	2988
667	13767	2967
668	13788	2947
669	13809	2926
670	13830	2906
671	13849	2885
672	13868	2864
673	13889	2843
674	13910	2823
675	13934	2803
676	13955	2782
677	13976	2762
678	13996	2741
679	14015	2720
680	14036	2700
681	14055	2679
682	14076	2658
683	14095	2637
684	14115	2617
685	14133	2596
686	14155	2575
687	14177	2555
688	14197	2534
689	14217	2513
690	14237	2493
691	14254	2471
692	14274	2451
693	14297	2430
694	14316	2410
695	14335	2389
696	14355	2368
697	14375	2347
698	14397	2327
699	14419	2307
700	14442	2286
701	14462	2266
702	14482	2245
703	14501	2224
704	14523	2204
705	14543	2183
706	14564	2163
707	14583	2142
708	14603	2121
709	14624	2100
710	14643	2080
711	14664	2059
712	14684	2038
713	14705	2018
714	14724	1997
715	14744	1976
716	14765	1956
717	14784	1935
718	14803	1914
719	14823	1894
720	14844	1873
721	14864	1852
722	14885	1832
723	14905	1811
724	14927	1791
725	14950	1771
726	14971	1750
727	14991	1729
728	15010	1709
729	15029	1688
730	15050	1667
731	15071	1647
732	15089	1626
733	15109	1605
734	15129	1584
735	15147	1564
736	15166	1543
737	15185	1522
738	15204	1501
739	15230	1481
740	15249	1461
741	15268	1440
742	15288	1419
743	15308	1399
744	15328	1378
745	15350	1358
746	15371	1337
747	15393	1317
748	15413	1296
749	15433	1275
750	15452	1255
751	15473	1234
752	15493	1214
753	15516	1193
754	15536	1172
755	15558	1152
756	15578	1131
757	15597	1111
758	15617	1090
759	15637	1069
760	15658	1049
761	15679	1028
762	15699	1008
763	15720	987
764	15740	967
765	15762	946
766	15781	925
767	15800	905
768	15820	884
769	15841	864
770	15864	843
771	15882	822
772	15900	802
773	15921	781
774	15939	760
775	15961	740
776	15980	719
777	15999	699
778	16020	678
779	16039	658
780	16058	637
781	16079	616
782	16099	596
783	16118	575
784	16136	555
785	16157	534
786	16177	513
787	16196	493
788	16215	472
789	16234	452
790	16256	431
791	16276	411
792	16296	390
793	16316	369
794	16337	349
795	16360	328
796	16381	308
797	16403	287
798	16424	267
799	16444	246
800	16466	226
801	16486	205
802	16506	185
803	16526	164
804	16548	143
805	16567	123
806	16587	102
807	16606	82
808	16627	61
809	16646	41
810	16667	20
811	16686	0
