iter	Logloss
140	0.2806261572
141	0.2806012716
142	0.2805756243
143	0.280549841
144	0.2805276012
145	0.2805082561
146	0.280481105
147	0.2804573925
148	0.2804304026
149	0.2804064734
150	0.2803847556
151	0.2803626516
152	0.2803461349
153	0.2803210555
154	0.2802966053
155	0.2802726225
156	0.2802533215
157	0.2802321821
158	0.2802096931
159	0.2801826451
160	0.280163698
161	0.280147099
162	0.2801243613
163	0.2800977628
164	0.2800755195
165	0.2800589904
166	0.2800371744
167	0.280021489
168	0.2799963601
169	0.2799755678
170	0.2799556144
171	0.2799370981
172	0.2799195556
173	0.2798975601
174	0.2798775468
175	0.2798637186
176	0.2798380887
177	0.2798173064
178	0.2797985318
179	0.2797845456
180	0.2797718029
181	0.2797549319
182	0.2797383025
183	0.2797207986
184	0.2797080548
185	0.2796932369
186	0.2796780826
187	0.279658498
188	0.2796468499
189	0.2796335182
190	0.2796222021
191	0.2796080371
192	0.2795937607
193	0.279569366
194	0.279555607
195	0.2795359132
196	0.2795203834
197	0.279503391
198	0.2794828721
199	0.2794682157
200	0.2794520477
201	0.2794343862
202	0.2794214749
203	0.2794065428
204	0.2793933178
205	0.2793827843
206	0.2793711119
207	0.2793588196
208	0.279342173
209	0.2793265603
210	0.2793099498
211	0.2792904301
212	0.2792784439
213	0.2792638988
214	0.2792497101
215	0.2792284766
216	0.2792154626
217	0.2791975841
218	0.279180711
219	0.2791665239
220	0.279149395
221	0.2791331448
222	0.2791228616
223	0.2791134084
224	0.2791032847
225	0.2790894798
226	0.2790758688
227	0.279062079
228	0.2790488308
229	0.2790376477
230	0.2790257389
231	0.2790165605
232	0.2790050976
233	0.2789860765
234	0.2789761117
235	0.2789609671
236	0.2789456693
237	0.2789335202
238	0.2789165119
239	0.2789056906
240	0.2788899507
241	0.2788827108
242	0.2788727815
243	0.2788608721
244	0.278846476
245	0.2788359725
246	0.2788246028
247	0.2788149188
248	0.2787986287
249	0.2787860732
250	0.2787765647
251	0.2787636561
252	0.278746436
253	0.27873483
254	0.2787285596
255	0.2787181256
256	0.2787054609
257	0.2786950747
258	0.2786792133
259	0.2786690557
260	0.2786599053
261	0.2786430421
262	0.2786296335
263	0.2786213864
264	0.2786077406
265	0.2785970539
266	0.2785868225
267	0.2785752891
268	0.278563203
269	0.2785530047
270	0.2785439857
271	0.2785333016
272	0.2785204186
273	0.2785090747
274	0.2784947278
275	0.2784860189
276	0.2784764684
277	0.278468226
278	0.2784576351
279	0.2784498772
280	0.2784379185
281	0.2784297117
282	0.2784201885
283	0.2784049481
284	0.2783911887
285	0.2783840472
286	0.2783727515
287	0.2783616284
288	0.2783506818
289	0.2783403805
290	0.2783346642
291	0.2783250642
292	0.2783161254
293	0.278311226
294	0.27830341
295	0.2782913245
296	0.2782754856
297	0.2782658818
298	0.2782565256
299	0.2782450583
300	0.2782346461
301	0.2782255526
302	0.2782182277
303	0.2782082876
304	0.2782002752
305	0.2781856668
306	0.2781705914
307	0.278162946
308	0.2781494746
309	0.2781400862
310	0.2781294479
311	0.2781214764
312	0.2781126791
313	0.2780993725
314	0.2780897394
315	0.2780789424
316	0.2780700806
317	0.2780587024
318	0.2780484134
319	0.2780400095
320	0.2780325782
321	0.2780258503
322	0.2780171376
323	0.2780095302
324	0.2780001019
325	0.2779913371
326	0.2779819639
327	0.2779712261
328	0.2779620382
329	0.2779525517
330	0.2779434525
331	0.277937118
332	0.2779307388
333	0.2779228605
334	0.2779150727
335	0.2779063842
336	0.2778970285
337	0.2778906597
338	0.2778827869
339	0.2778754297
340	0.2778678953
341	0.2778497352
342	0.2778415977
343	0.2778333843
344	0.2778230803
345	0.2778163385
346	0.2778082335
347	0.2778009791
348	0.2777943008
349	0.2777873143
350	0.2777805573
351	0.2777742667
352	0.2777665091
353	0.2777571422
354	0.2777507484
355	0.2777420795
356	0.2777335065
357	0.2777268286
358	0.2777185627
359	0.2777113605
360	0.2777007894
361	0.2776922546
362	0.2776877681
363	0.2776830849
364	0.2776764217
365	0.2776700026
366	0.2776653521
367	0.2776578628
368	0.2776536646
369	0.2776482372
370	0.2776415219
371	0.2776331536
372	0.2776283012
373	0.2776234233
374	0.2776146801
375	0.2776050353
376	0.2775954228
377	0.2775872954
378	0.2775798416
379	0.2775713819
380	0.2775656861
381	0.2775578416
382	0.2775489994
383	0.2775430204
384	0.2775396884
385	0.2775287334
386	0.2775171422
387	0.2775106584
388	0.277503063
389	0.2774975386
390	0.2774876312
391	0.2774807213
392	0.2774734853
393	0.2774668838
394	0.277457942
395	0.2774538301
396	0.277449091
397	0.2774414447
398	0.2774337056
399	0.2774296533
400	0.2774256388
401	0.2774179494
402	0.2774086465
403	0.2773994106
404	0.2773930149
405	0.2773844628
406	0.2773770555
407	0.2773715445
408	0.2773642376
409	0.2773533491
410	0.2773468477
411	0.2773408579
412	0.2773316668
413	0.2773230292
414	0.2773137779
415	0.2773098629
416	0.2773020995
417	0.2772916407
418	0.2772866459
419	0.277280039
420	0.2772723387
421	0.2772670667
422	0.2772641229
423	0.277256221
424	0.2772500088
425	0.2772444819
426	0.2772386544
427	0.277233227
428	0.277222161
429	0.2772138319
430	0.2772039841
431	0.2771928079
432	0.2771860241
433	0.277180189
434	0.2771740189
435	0.2771656053
436	0.2771585897
437	0.277151337
438	0.2771476178
439	0.2771420078
440	0.2771360332
441	0.2771298533
442	0.2771235345
443	0.2771157094
444	0.277110892
445	0.277103915
446	0.2771016821
447	0.277094101
448	0.2770884368
449	0.2770834436
450	0.2770779096
451	0.2770716536
452	0.2770667095
453	0.2770606222
454	0.2770531837
455	0.2770472694
456	0.2770406093
457	0.2770363916
458	0.2770300234
459	0.277023417
460	0.2770144373
461	0.2770086713
462	0.2770021871
463	0.2769938249
464	0.2769893389
465	0.2769865928
466	0.2769828774
467	0.2769795922
468	0.2769737512
469	0.2769674296
470	0.2769622234
471	0.2769584666
472	0.2769529896
473	0.2769417821
474	0.2769338783
475	0.2769290113
476	0.2769230366
477	0.2769137495
478	0.2769090437
479	0.2769034484
480	0.2768950109
481	0.2768909137
482	0.2768833667
483	0.2768783073
484	0.276868745
485	0.2768644282
486	0.2768583781
487	0.2768540023
488	0.2768428406
489	0.2768353131
490	0.2768261278
491	0.2768206602
492	0.2768162819
493	0.2768110328
494	0.2768059583
495	0.2768006114
496	0.2767907751
497	0.276782073
498	0.2767757198
499	0.2767688488
500	0.276764763
501	0.2767586216
502	0.2767521254
503	0.2767479421
504	0.2767409869
505	0.2767331646
506	0.2767223473
507	0.2767154456
508	0.276707962
509	0.2767018259
510	0.2766975759
511	0.276692835
512	0.2766897441
513	0.2766842611
514	0.2766764144
515	0.2766682593
516	0.2766611436
517	0.2766572557
518	0.2766526747
519	0.2766440332
520	0.2766372603
521	0.2766315839
522	0.2766236257
523	0.2766193591
524	0.2766144508
525	0.2766103187
526	0.2766047989
527	0.2765993885
528	0.2765901943
529	0.2765849368
530	0.2765805028
531	0.2765639005
532	0.2765595293
533	0.2765533486
534	0.2765471758
535	0.2765416834
536	0.2765352181
537	0.276530884
538	0.276524087
